City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Nome,US,64.5011,-165.4064,55.11,37,75,18.41,broken clouds
317,Taksimo,RU,56.3444,114.8794,38.39,80,96,2.75,overcast clouds
318,Dhana,IN,23.75,78.85,89.89,35,84,10.74,broken clouds
319,Sao Filipe,CV,14.8961,-24.4956,74.84,73,81,7.54,broken clouds
320,Katsuura,JP,35.1333,140.3,69.19,74,6,12.64,clear sky
321,Abdanan,IR,32.9926,47.4198,78.49,18,0,8.61,clear sky
322,Algiers,DZ,36.7525,3.042,64.22,88,75,5.32,broken clouds
323,Gambela,ET,8.25,34.5833,76.8,65,5,3.94,clear sky
324,Dalbandin,PK,28.8947,64.4101,86.4,9,0,3.65,clear sky
325,Dawson Creek,CA,55.7666,-120.2362,69.15,30,75,17.27,broken clouds
326,Port Hardy,CA,50.6996,-127.4199,59.18,77,90,19.57,overcast clouds
327,Olinda,BR,-8.0089,-34.8553,73.13,94,75,8.52,broken clouds
328,Mutare,ZW,-18.9707,32.6709,55.06,51,0,3.8,clear sky
329,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,7.05,light rain
330,Dong Hoi,VN,17.4833,106.6,83.5,72,92,7.45,overcast clouds
331,Paamiut,GL,61.994,-49.6678,35.15,90,37,20.04,scattered clouds
332,High Level,CA,58.5169,-117.136,73.51,28,75,7.0,broken clouds
333,Namatanai,PG,-3.6667,152.4333,81.41,78,96,7.63,light rain
334,Astara,AZ,38.5,48.6667,67.98,77,0,1.25,clear sky
335,Nador,MA,35.174,-2.9287,68.07,88,0,4.59,clear sky
336,Dzerzhinsk,RU,56.2389,43.4631,46.22,87,20,7.58,few clouds
337,Shache,CN,38.4167,77.2406,76.5,27,100,7.38,overcast clouds
338,Nampula,MZ,-15.1165,39.2666,63.88,92,9,1.74,clear sky
339,Boulder City,US,35.9786,-114.8325,98.44,8,1,5.75,clear sky
340,Bowen,AU,-20.0167,148.2333,64.62,79,79,14.81,broken clouds
341,Aginskoye,RU,51.1,114.53,42.6,43,100,12.53,overcast clouds
342,Poya,NC,-21.35,165.15,70.57,58,88,7.63,overcast clouds
343,Saint-Ambroise,CA,48.5501,-71.3324,64.71,27,53,9.57,broken clouds
344,Horsham,GB,51.064,-0.3272,54.93,83,0,6.49,clear sky
345,Morogoro,TZ,-6.8167,37.6667,64.11,86,8,1.66,clear sky
